"id","loss"
4,1536.44792774212
6,2013.91184679567
9,8648.75245736499
12,5803.05094779888
15,886.528122163688
17,2292.91917513403
21,2217.80519502617
28,903.79028791454
32,2333.3346510317
43,3021.32913109643
46,2395.29714188821
50,896.628637860029
54,1218.89899838762
62,1949.71330239201
70,2326.40259260094
71,4291.62912218483
75,2446.81585736109
77,2068.36540802234
81,2526.86044343561
83,2264.02644219848
87,2021.30651419513
97,2029.98683324846
103,1291.30635235354
119,1237.68922895588
120,1887.91955941454
127,1005.34133002878
138,4094.88432862444
141,2805.92917892833
148,829.637772217906
150,2647.75877996726
151,2069.01488824892
158,1525.64957410885
160,5841.74873825606
165,2214.09906227428
168,3397.41087283904
169,3678.23824941731
177,2648.6582283839
178,3613.31004768996
184,1874.02131033012
194,8150.35251836951
198,1545.34362790363
203,3691.62323044273
211,2682.68311419296
217,1246.61033167928
219,1454.49379640354
221,3878.09057759446
227,1733.65326098556
230,1416.1481297554
235,1769.68089200623
240,742.941455085133
243,2625.4191977113
249,6156.80495988434
253,2786.31962884268
258,1345.59492246752
261,1677.05814304526
263,3634.0270548708
264,2517.27842286848
265,4305.43478260974
268,1608.4478334648
271,1134.27703226888
274,5000.79238867449
275,687.418067761529
279,1652.08376397401
282,1524.14156223661
286,2910.87324724873
288,1319.93136827272
294,2609.65700567069
296,1099.13683883539
297,1403.08709867977
300,806.049664411507
303,7544.31269246137
314,983.919316939216
315,4907.08300355117
321,2647.39869899444
323,3662.16630321239
330,4126.56379423564
341,1768.17968643317
342,4059.48938450971
352,1692.19100792384
353,3156.85011198046
360,5072.59182751471
361,1977.20167576932
362,4071.75527893309
366,1236.54363886313
372,3754.5456271127
376,2922.38572987045
377,2494.70348704772
379,1542.28312364601
380,3548.42704256307
387,1869.14812706968
392,2117.94726563583
394,9873.21115308714
395,1544.77887999499
397,1348.04667997582
407,6181.15826500822
411,7313.22524817117
416,2582.06087663233
417,1709.4178038567
419,3921.28785735784
428,5042.27317434261
431,1809.28664108703
436,8250.79929973385
438,1350.14449471739
445,7064.6967677681
446,6716.14342597119
455,1288.96705000592
456,1239.66022298748
461,895.445362944335
463,1913.4388119629
464,3306.11265516371
466,1823.91833214611
467,1397.51297712477
470,1216.13242084093
475,1368.93718262074
482,3036.68365351169
490,2801.35823163334
496,1794.977117111
497,3857.19317209867
508,2859.60185538079
510,1807.53525293311
512,2028.7982926576
513,3218.6938749346
523,1898.52297110073
531,4645.0368035349
532,2615.91507681574
533,1291.34641599556
537,1107.24499660159
544,4516.75565284251
547,2980.35053692374
556,7922.26371474954
565,1274.53527768027
566,1352.48251179617
571,1463.30043704451
573,1311.16795731262
574,842.025955231062
581,2067.83312536938
585,2114.25135410203
589,1957.13300416898
597,1743.37868432443
601,3562.24330517055
602,1491.82170223018
613,1737.20946784438
616,1444.77187267061
619,1954.22509108773
622,2268.14216710669
623,1933.11165765322
629,1459.31071071951
634,1469.08132623168
638,950.686101246846
642,1106.81674539193
643,2328.31617708252
645,1056.12466529119
648,6491.8941079873
652,1418.20613653317
664,993.026499408669
666,2281.0356419014
672,827.337419107014
676,1713.78138124949
678,4402.84637715908
682,1628.66057645647
686,3111.87156366259
688,2314.3028729572
689,1189.55174909827
690,1627.04107988178
692,9448.40155203869
695,1499.50288126433
697,3559.04516951175
698,2242.88560631043
706,2269.81774025645
708,1589.38516054296
712,2983.7097973923
715,4509.40542517696
717,1334.88056697996
725,3299.76669711303
729,1214.48232840899
737,1424.55775285583
739,5289.19239673157
747,3596.23040772183
753,2510.7480277781
758,2352.19921115362
759,2295.59770332432
763,1699.91380803718
